group_number,media_id,category,media_count,images,videos,caption_prefix
1,3959915193382629213,Rings,1,0,1,"buy_minimal_rings💍,_you_can_style_and_stack_with_any_of_your_2026-08-09_Db0ceNKPm9d"
2,3954840460756713393,Bracelets,1,0,1,Comment_for_details📥_Boys_flex🫶🏼😩🤍_#explore_#MensAccessories_2026-08-02_DbianIGvv-x
3,3949042756324097346,Accessories,1,0,1,Customised_dream_box_for_her._Jewellery_organiser_box_only_f_2026-07-25_DbN0XbFhv1C
4,3947625904849612418,Necklaces,1,0,1,"Not_just_jewellery,it's_His_Presence🥺🤍🤌🏼_A_heart_inspired_by_2026-07-23_DbIyNhUsO6C"
5,3946142859664332086,Review-Excluded,1,0,1,Some_gifts_carry_love_in_every_step🤌🏼🤍_He_picked_the_perfect_2026-07-21_DbDhAX3PJU2
6,3944700381237691122,Bracelets,1,0,1,Share_it_to_them!🤌🏼🫠🦢🪞_Manifesting_energy_only_a_simple_rule_2026-07-19_Da-ZBjJBULy
7,3934546745807517104,Review-Excluded,1,0,1,Send_to_YOURS_🫠🤍🎀_#growingup_#jewelobsession_#antitarnish_#l_2026-07-05_DaaUWtQBrWw
8,3928806734961238683,Necklaces,1,0,1,"He_treats_me_like_the_plot_of_his_favorite_story🌍,_and_hones_2026-06-27_DaF7OjkhuKb"
9,3928748898062003650,Earrings,1,0,1,Jhumka_box_for_699_-only_Jewellery_rates_depends_on_what_you_2026-06-27_DaFuE6wsW3C
10,3919325979398805722,Necklaces,1,0,1,the_girl_ho_se_Send_him_and_ask_can_you_buy_this_for_me_🤌🏼🖤_2026-06-14_DZkPjZ5Bpja
11,3911037588429236754,Jewellery-Sets,1,1,0,Simplicity_speaks_volumes._✨_Discover_the_perfect_blend_of_m_2026-06-03_DZGy_cRhmoS
12,3899757064482179904,Chains,1,0,1,Made_for_real_life._Our_anti-tarnish_chains_are_designed_to_2026-05-18_DYeuGNqx8tA
13,3896153093485959817,Necklaces,1,0,1,450_-free_shipping_🪷_#reels_#growth_#fyppppppppppppppppppppp_2026-05-13_DYR6piHxRqJ
14,3892581269779875404,Jewellery-Sets,1,1,0,"Classic_red,_timeless_gold,_and_the_soft_glow_of_pearls._DM_2026-05-08_DYFOgqEkYZM"
15,3887439648771179213,Bracelets,1,0,1,Finally...._!_him_gifting_you_this🤍🌷_That's_all_a_girl_ever_2026-05-01_DXy9cOWxoLN
16,3883816745094425330,Necklaces,1,0,1,Simple._Elegant._Beautiful❤️_Perfect_for_everyday_wear_and_e_2026-04-26_DXmFsCYESry
17,3881651045458368583,Chains,1,0,1,Men’s_Accessories_Launching_Now!_🕶️✨_Whether_it’s_for_a_part_2026-04-23_DXeZQ9akdhH
18,3880240779508152826,Jewellery-Sets,5,5,0,"Unseen,_but_never_unlinked🤌🏼🤍_#instagram_#thegirlho_se💗_#sty_2026-04-21_DXZYm45kXn6"
19,3878068218586303541,Necklaces,4,4,0,"Weightless,_yet_unbreakable._✨_#fyp_#jewelobsession_#insta_#_2026-04-18_DXRqn93kYw1"
20,3876648705865147916,Chains,4,4,0,Invisible_chains_just_99_-_only✨_#insta_#chainsmokers_#thegi_2026-04-16_DXMn3VoEeYM
21,3873718997296982912,Review-Excluded,1,0,1,H_E_G_A_V_E🤌🏼💗_#jewelryforsale_#explorepage✨_#thegirlho_se💗_2026-04-12_DXCNud5kauA
22,3872342672888028955,Jewellery-Sets,1,1,0,❤️🪷_#newcollection_#fyp_#thegirlho_se💗_#minimaljewellery_#tr_2026-04-10_DW9UyT6E98b
23,3870775551703740675,Review-Excluded,1,0,1,The_art_of_being_seen_without_being_loud_🤍🪷_#trending_#thegi_2026-04-08_DW3wdskkXED
24,3869356125284583445,Earrings,4,4,0,🦚💗_Dm📥_for_get_price_details_#fyp_#trending_#jewelry_#asthet_2026-04-06_DWytuUtEcgV
25,3867947534950441334,Review-Excluded,1,0,1,"Sorry_Accepted_🤍🫂_Hey_Girls,_So_many_beautiful_collections_a_2026-04-04_DWttcoukaF2"
26,3867166626362231025,Necklaces,1,0,1,Jewelry_has_the_power_to_be_the_one_little_thing_that_makes_2026-04-03_DWq7467kQjx
27,3865040021816962847,Jewellery-Sets,1,0,1,Carved_to_perfection._This_Ganesha_antique_set_is_more_than_2026-03-31_DWjYWwHEW8f
28,3863565208321648835,Necklaces,3,3,0,🪷🤍_The_finishing_touch_that_makes_the_outfit._Jewels_@the_gi_2026-03-29_DWeJBZAkejD
29,3860663505347761589,Pendants,1,0,1,The_timeless_aura_of_Lord_Venkateswara_🏵️⚜️_450_-_#tradition_2026-03-25_DWT1QDhkVW1
30,3859201943219040990,Review-Excluded,1,0,1,"Less,_but_better🌝🤍_#invisible_#traditionaljewellery❤️_#jewel_2026-03-23_DWOo7huEXLe"
31,3858491083299319243,Review-Excluded,3,3,0,📌_2026-03-22_DWMHTJ1EW3L
32,3858243303616097728,Necklaces,2,2,0,"Rooted_in_tradition,_radiating_with_grace._Nothing_beats_the_2026-03-22_DWLO9fBES3A"
33,3857069509379722097,Chains,1,1,0,Long_chain_for_kids🌷_#jewelobsession_#kidsfashion_#jewellery_2026-03-20_DWHEEh8kYtx
34,3854898874230601396,Jewellery-Sets,1,1,0,"Radiance,_Redefined._🌝🤍_#jewelry_#jewelleryhub_#trendycollec_2026-03-17_DV_WhobkXa0"
35,3854173657803874810,Jewellery-Sets,1,1,0,Bringing_a_touch_of_temple_tradition_to_the_modern_celebrati_2026-03-16_DV8xoWAEWH6
36,3853165677381799382,Necklaces,1,1,0,🌷🤍_#simplelook_#uniquedesign_#stylish_#thegirlho_se💗_#instaj_2026-03-15_DV5McTFEc3W
37,3850562945512732015,Jewellery-Sets,1,1,0,Adding_a_touch_of_temple_gold_to_the_festivities._💛_#jewelob_2026-03-11_DVv8pkIkXVv
38,3849119215660425764,Jewellery-Sets,1,1,0,"Small_details,_significant_impact._The_perfect_touch_of_spar_2026-03-09_DVq0Yh7keIk"
39,3847654315645798705,Jewellery-Sets,1,1,0,"There’s_something_about_the_combination_of_gold,_deep_emeral_2026-03-07_DVlnTbekQkx"
